id,title,affected_system,problem,evidence,recommended_action,class,prerequisites,validation,rollback,maint_window,effort,reliability_benefit,security_benefit,power_impact,approval_required,confidence
QL-REC01,Replace faulted bulk drive,Randy bulk pool,"mpathv FAULTED; raidz2-2 down to one parity. Reclassified from Urgent to Next-window: bulk is near-empty (E-29) so this restores redundancy rather than averting data loss.",E-04 + E-29,zpool replace bulk mpathv /dev/disk/by-id/<new>; scrub after,Next maintenance window,">=4TB SAS drive seated in one of the 2 free bays; drive is fully offline so confirm by-id at swap time",zpool status ONLINE + scrub 0 errors,Pull new drive -> returns to current degraded (not worse),No,S,Medium,None,Negligible,Yes - PENDING OPERATOR HARDWARE,High
QL-REC02,Close the ZFS device-level alerting blind spot,Grafana/collector,"ZfsPoolDegraded could never fire: node_zfs_pool_health derives from 'zpool list -o health' which returns ONLINE for a raidz2 pool that still has redundancy. No per-device metric existed.",E-26/E-27,"APPLIED: added node_zfs_pool_nonhealthy_devices{pool} (counts vdev devices not ONLINE) + critical ZfsDeviceFaulted rule (>0 for 5m, notify=infra); deployed to randy/quarkylab/jarvis",DONE - applied 2026-07-23,none,"Verified live in Prometheus: bulk=1, all other pools 0",Revert collector + remove rule (config-as-code branch fix/zfs-device-level-alert),No,S,High,None,None,Approved+applied,High
QL-REC03,Add a second backup copy (3-2-1),PBS/Randy,All backups on one node/rack/UPS,E-08 + audit G4,PBS remote-sync to the planned R730xd or rclone->Backblaze B2 for datastore + bulk/fernanda,Near-term,R730xd build or B2 account,Restore-test from second copy,Remove sync job,No,M,High,Medium,Low,Yes,High
QL-REC04,Back up pve1 guests,pve1,CT103 primary Pi-hole + CT104 unbacked,E-05 + audit R-03,Add vzdump job pve1 -> Randy datastore (keep 7d/4w),Next window,pve1 reaches .10.187 (yes),Snapshot appears in PBS,Delete job,No,XS,Medium,Low,None,Yes,High
QL-REC05,Rotate at-rest credentials on Ares,Ares/GitHub/Wazuh,Plaintext PAT + apikey.txt + wazuh pw at rest,E-17,Rotate GitHub PAT; move to env/cred store; same for apikey.txt and .wazuh-api-newpw.txt,Urgent corrective,GitHub + Wazuh admin access,Old token revoked; scripts use env,Keep old file until confirmed,No,S,Low,Medium,None,Yes,High
QL-REC06,Deploy prometheus-pve-exporter,Grafana stack,No PVE-level metrics (quorum/guest/backup),audit R-06 + 31-proposal,LXC or on CT103; read-only PVEAuditor token; multi-target scrape 8 nodes,Near-term,PVE API token in Vaultwarden,Targets up in Prometheus,Remove exporter+scrape,No,S,Medium,Low,Negligible,Yes,High
QL-REC07,Add alert rules (quorum/backup-stale/verify/cert),Grafana,Gaps: quorum-lost is added but PBS-stale/verify/cert-expiry incomplete,audit R-05 + monitoring digest,Add rules per proposal Part D (needs R-06 for some),Near-term,QL-REC06 for PVE metrics,Rules fire on synthetic test,Revert rule commit,No,S,Medium,Low,None,Yes,High
QL-REC08,Rebalance UPS loads + verify NUT shutdown,Power,UPS-A 59%/~9.5min vs UPS-B 36%/~29min,E-07,Move some network-plane load to UPS-B; confirm upsmon SHUTDOWNCMD + staged HOSTSYNC on every node,Next window,Physical access; NUT config,upsc load balanced; test-less config review,Config-managed revert,Maybe,S,Medium,None,Low (efficiency),Yes,High
QL-REC09,Reconcile EX3400 SSH + deploy Oxidized,Network,"PARTIAL: switch reachable via password auth and config captured once this review (E-25). Key auth still not configured; nightly automated capture still absent.",E-22/E-25 + audit R-08/R-09,Add operator SSH key to the switch; deploy Oxidized nightly->git,Near-term,switch admin,Config in git; nightly diff,Stop container,No,M,Medium,Medium,None,Yes,High
QL-REC21,Pin the EX3400 as STP root,EX3400 core switch,"No bridge-priority was set anywhere; the UniFi USW-24-250W had won root by lower MAC and the core reached it at cost 20000. Docs wrongly claimed the core was root at 4096.",E-22/E-25/E-28,"APPLIED: set protocols rstp bridge-priority 4096, committed",DONE - applied 2026-07-23,switch config access,"Verified: Root ID==Bridge ID==4096.c0:42:d0:f9:ec:71; ge-0/0/46 role ROOT->DESG",delete bridge-priority and commit (or let commit confirmed lapse),No,XS,Medium,Low,None,Approved+applied,High
QL-REC10,Build OPNsense CARP HA pair,Network,Single OPNsense = whole-network SPOF,arch digest + CARP plan,Follow the 2026-07-22 CARP plan; standalone backup host; solve WAN-CARP,Medium-term,2nd host; both on 25.7; pfsync link,Failover test in a window,Documented in plan,Yes,L,High,Low,Low,Yes,Medium
QL-REC11,Land the documentation drift PR (D-01..D-10),Docs,One-directional drift; 2 inverted spec items,drift register,One commit per finding class; CLAUDE.md -> stale files; keep 25.7 in CARP only,Immediate follow-up,audit branch,PR table file:line old->new,Revert branch,No,S,Low (ops clarity),Low,None,No,High
